label	family	model	claim_line1	what_to_check	assigned	report
card-down6-any-05	down6	deepseek-v4-flash	RESULT: FLEET PROBE ok	read the report and say whether the claim can be checked at all	Rowan	results/card-down6-any-05/RESULT.md
card-down7-03	down7	qwen/qwen3.7-flash	RESULT: FLEET PROBE ok	read the report and say whether the claim can be checked at all	Rowan	results/card-down7-03/RESULT.md
card-down8-pro-2	down8	deepseek-v4-pro	RESULT: FLEET PROBE ok	read the report and say whether the claim can be checked at all	Rowan	results/card-down8-pro-2/RESULT.md
card-down8-pro-3	down8	deepseek-v4-pro	RESULT: FLEET PROBE ok	read the report and say whether the claim can be checked at all	Rowan	results/card-down8-pro-3/RESULT.md
card-s17c-w6-rust	s17c	qwen/qwen3.7-flash	RESULT: s17c-w6-rust sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17c-w6-rust/RESULT.md
card-s17g-f7-rust	s17g	deepseek/deepseek-v4-flash	RESULT: s17g-f7-rust sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17g-f7-rust/RESULT.md
card-s17g-f8-cs	s17g	qwen/qwen3.7-flash	RESULT: s17g-f8-cs sha=000000000000	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17g-f8-cs/RESULT.md
card-s17g-f9-go	s17g	deepseek/deepseek-v4-flash	RESULT: s17g-f9-go sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17g-f9-go/RESULT.md
card-s17mr-1059	s17mr	deepseek/deepseek-v4-flash	RESULT: s17mr-1059 sha=UNKNOWNABLE	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1059/RESULT.md
card-s17mr-1072	s17mr	deepseek-v4-flash	RESULT: s17mr-1072 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1072/RESULT.md
card-s17mr-1076	s17mr	deepseek/deepseek-v4-flash	RESULT: s17mr-1076 sha=<no base tree>	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1076/RESULT.md
card-s17mr-1078	s17mr	deepseek/deepseek-v4-flash	RESULT: s17mr-1078 sha=n/a	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1078/RESULT.md
card-s17mr-1083	s17mr	-	RESULT: BLOCKED card-s17mr-1083	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1083/RESULT.md
card-s17mr-1086	s17mr	-	RESULT: BLOCKED card-s17mr-1086	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1086/RESULT.md
card-s17mr-1087	s17mr	deepseek-v4-flash	RESULT: s17mr-1087 sha=7c29513b0e8f	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-1087/RESULT.md
card-s17mr-836	s17mr	-	RESULT: BLOCKED card-s17mr-836	FIXED TABLES: cell, rebase, python or pre-read claim against the schema PR or branch at base 7c29513b; hostile-bytes rows Johnny, the rest Emma; codegen, matrix or law: Stella.	Johnny	results/card-s17mr-836/RESULT.md
