# fixed-waits-allowlist.txt -- existing offenders of the `waits` class
# test in docs/SPEC-CI.md. One row: file:line kind date reason.
#
# The file only shrinks. An entry that names no offender on the tree is refused
# (`fix the wait; the allowlist only shrinks`), so fixing a wait means deleting
# its row in the same change, and a new row parks nothing.
#
# These predate the checker. Each is a fixed wait the CI path carried before the
# audit was a verb: a sleep in a helper process, a short bound beside a fake
# clock, or a wall-clock measurement asserted on. The allowed shape is a poll up
# to NOVA_TEST_WAIT (default 30s) or a fake clock.
cmd/nova-bus/timing_test.go:122 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
cmd/nova-swarm/native_test.go:147 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:210 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:219 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
cmd/nova-swarm/native_test.go:383 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:547 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:552 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:557 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:810 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:826 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:862 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-swarm/native_test.go:886 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
cmd/nova-tokens/slow_test.go:38 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
cmd/nova-wake/laneread_test.go:74 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/pulse/status_index_test.go:357 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/pulse/status_index_test.go:372 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/launch_bound_test.go:43 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/launch_bound_test.go:61 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/launch_bound_test.go:66 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/regular_size_test.go:116 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/result_collision_test.go:236 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/swarm/revision_test.go:257 sleep 2026-09-17 a fixed sleep in a helper or child process, not a pass/fail poll; predates the checker
internal/update/delivery_test.go:70 sleep 2026-09-17 a fixed sleep in a helper or child process, not a pass/fail poll; predates the checker
internal/update/rules_test.go:208 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/update/slow_test.go:135 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/update/stella_deadline_unix_test.go:21 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/update/update_test.go:48 sleep 2026-09-17 a fixed sleep in a helper or child process, not a pass/fail poll; predates the checker
internal/update/update_test.go:92 sleep 2026-09-17 a fixed sleep in a helper or child process, not a pass/fail poll; predates the checker
internal/update/update_test.go:217 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/update/update_test.go:377 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
internal/update/update_test.go:381 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
internal/update/update_test.go:411 bound 2026-09-17 a short bound used with a fake clock or a subprocess; predates the checker
internal/wake/laneread_test.go:202 elapsed 2026-09-17 a wall-clock measurement the test asserts on; predates the checker
