repo	pr	job	opened	queue_s	setup_s	test_s	pr_open_to_green_s
mas-bandwidth/nova-tools	1205	test (1/3)	2026-08-01T16:41:00Z	56	114	717	1162
mas-bandwidth/nova-tools	1205	test (2/3)	2026-08-01T16:41:00Z	65	131	876	1162
mas-bandwidth/nova-tools	1205	test (3/3)	2026-08-01T16:41:00Z	74	148	346	1162
mas-bandwidth/nova-tools	1206	test (1/3)	2026-08-01T18:18:00Z	67	123	770	1063
mas-bandwidth/nova-tools	1206	test (2/3)	2026-08-01T18:18:00Z	76	140	240	1063
mas-bandwidth/nova-tools	1206	test (3/3)	2026-08-01T18:18:00Z	85	157	399	1063
mas-bandwidth/nova-tools	1207	test (1/3)	2026-08-01T19:55:00Z	78	132	823	1149
mas-bandwidth/nova-tools	1207	test (2/3)	2026-08-01T19:55:00Z	87	149	293	1149
mas-bandwidth/nova-tools	1207	test (3/3)	2026-08-01T19:55:00Z	96	166	452	1149
mas-bandwidth/nova-tools	1208	test (1/3)	2026-08-01T21:32:00Z	89	141	876	1235
mas-bandwidth/nova-tools	1208	test (2/3)	2026-08-01T21:32:00Z	98	158	346	1235
mas-bandwidth/nova-tools	1208	test (3/3)	2026-08-01T21:32:00Z	107	175	505	1235
mas-bandwidth/nova-tools	1209	test (1/3)	2026-08-01T23:09:00Z	100	150	240	1002
mas-bandwidth/nova-tools	1209	test (2/3)	2026-08-01T23:09:00Z	109	167	399	1002
mas-bandwidth/nova-tools	1209	test (3/3)	2026-08-01T23:09:00Z	118	184	558	1002
mas-bandwidth/nova-tools	1210	test (1/3)	2026-08-02T00:46:00Z	111	60	293	924
mas-bandwidth/nova-tools	1210	test (2/3)	2026-08-02T00:46:00Z	120	77	452	924
mas-bandwidth/nova-tools	1210	test (3/3)	2026-08-02T00:46:00Z	129	94	611	924
mas-bandwidth/nova-tools	1211	test (1/3)	2026-08-02T02:23:00Z	45	69	346	933
mas-bandwidth/nova-tools	1211	test (2/3)	2026-08-02T02:23:00Z	54	86	505	933
mas-bandwidth/nova-tools	1211	test (3/3)	2026-08-02T02:23:00Z	63	103	664	933
mas-bandwidth/nova-tools	1212	test (1/3)	2026-08-02T04:00:00Z	56	78	399	1019
mas-bandwidth/nova-tools	1212	test (2/3)	2026-08-02T04:00:00Z	65	95	558	1019
mas-bandwidth/nova-tools	1212	test (3/3)	2026-08-02T04:00:00Z	74	112	717	1019
mas-bandwidth/nova-tools	1213	test (1/3)	2026-08-02T05:37:00Z	67	87	452	1105
mas-bandwidth/nova-tools	1213	test (2/3)	2026-08-02T05:37:00Z	76	104	611	1105
mas-bandwidth/nova-tools	1213	test (3/3)	2026-08-02T05:37:00Z	85	121	770	1105
mas-bandwidth/nova-tools	1214	test (1/3)	2026-08-02T07:14:00Z	78	96	505	1191
mas-bandwidth/nova-tools	1214	test (2/3)	2026-08-02T07:14:00Z	87	113	664	1191
mas-bandwidth/nova-tools	1214	test (3/3)	2026-08-02T07:14:00Z	96	130	823	1191
mas-bandwidth/nova-tools	1215	test (1/3)	2026-08-02T08:51:00Z	89	105	558	1212
mas-bandwidth/nova-tools	1215	test (2/3)	2026-08-02T08:51:00Z	98	122	717	1212
mas-bandwidth/nova-tools	1215	test (3/3)	2026-08-02T08:51:00Z	107	139	876	1212
mas-bandwidth/nova-tools	1216	test (1/3)	2026-08-02T10:28:00Z	100	114	611	1113
mas-bandwidth/nova-tools	1216	test (2/3)	2026-08-02T10:28:00Z	109	131	770	1113
mas-bandwidth/nova-tools	1216	test (3/3)	2026-08-02T10:28:00Z	118	148	240	1113
mas-bandwidth/nova-tools	1217	test (1/3)	2026-08-02T12:05:00Z	111	123	664	1199
mas-bandwidth/nova-tools	1217	test (2/3)	2026-08-02T12:05:00Z	120	140	823	1199
mas-bandwidth/nova-tools	1217	test (3/3)	2026-08-02T12:05:00Z	129	157	293	1199
mas-bandwidth/nova-tools	1218	test (1/3)	2026-08-02T13:42:00Z	45	132	717	1208
mas-bandwidth/nova-tools	1218	test (2/3)	2026-08-02T13:42:00Z	54	149	876	1208
mas-bandwidth/nova-tools	1218	test (3/3)	2026-08-02T13:42:00Z	63	166	346	1208
mas-bandwidth/nova-tools	1219	test (1/3)	2026-08-02T15:19:00Z	56	141	770	1109
mas-bandwidth/nova-tools	1219	test (2/3)	2026-08-02T15:19:00Z	65	158	240	1109
mas-bandwidth/nova-tools	1219	test (3/3)	2026-08-02T15:19:00Z	74	175	399	1109
mas-bandwidth/nova-tools	1220	test (1/3)	2026-08-02T16:56:00Z	67	150	823	1130
mas-bandwidth/nova-tools	1220	test (2/3)	2026-08-02T16:56:00Z	76	167	293	1130
mas-bandwidth/nova-tools	1220	test (3/3)	2026-08-02T16:56:00Z	85	184	452	1130
mas-bandwidth/nova-tools	1221	test (1/3)	2026-08-02T18:33:00Z	78	60	876	1117
mas-bandwidth/nova-tools	1221	test (2/3)	2026-08-02T18:33:00Z	87	77	346	1117
mas-bandwidth/nova-tools	1221	test (3/3)	2026-08-02T18:33:00Z	96	94	505	1117
mas-bandwidth/nova-tools	1222	test (1/3)	2026-08-02T20:10:00Z	89	69	240	884
mas-bandwidth/nova-tools	1222	test (2/3)	2026-08-02T20:10:00Z	98	86	399	884
mas-bandwidth/nova-tools	1222	test (3/3)	2026-08-02T20:10:00Z	107	103	558	884
mas-bandwidth/nova-tools	1223	test (1/3)	2026-08-02T21:47:00Z	100	78	293	970
mas-bandwidth/nova-tools	1223	test (2/3)	2026-08-02T21:47:00Z	109	95	452	970
mas-bandwidth/nova-tools	1223	test (3/3)	2026-08-02T21:47:00Z	118	112	611	970
mas-bandwidth/nova-tools	1224	test (1/3)	2026-08-02T23:24:00Z	111	87	346	1056
mas-bandwidth/nova-tools	1224	test (2/3)	2026-08-02T23:24:00Z	120	104	505	1056
mas-bandwidth/nova-tools	1224	test (3/3)	2026-08-02T23:24:00Z	129	121	664	1056
mas-bandwidth/nova-tools	1225	test (1/3)	2026-08-03T01:01:00Z	45	96	399	1000
mas-bandwidth/nova-tools	1225	test (2/3)	2026-08-03T01:01:00Z	54	113	558	1000
mas-bandwidth/nova-tools	1225	test (3/3)	2026-08-03T01:01:00Z	63	130	717	1000
mas-bandwidth/nova-tools	1226	test (1/3)	2026-08-03T02:38:00Z	56	105	452	1086
mas-bandwidth/nova-tools	1226	test (2/3)	2026-08-03T02:38:00Z	65	122	611	1086
mas-bandwidth/nova-tools	1226	test (3/3)	2026-08-03T02:38:00Z	74	139	770	1086
mas-bandwidth/nova-tools	1227	test (1/3)	2026-08-03T04:15:00Z	67	114	505	1172
mas-bandwidth/nova-tools	1227	test (2/3)	2026-08-03T04:15:00Z	76	131	664	1172
mas-bandwidth/nova-tools	1227	test (3/3)	2026-08-03T04:15:00Z	85	148	823	1172
mas-bandwidth/nova-tools	1228	test (1/3)	2026-08-03T05:52:00Z	78	123	558	1258
mas-bandwidth/nova-tools	1228	test (2/3)	2026-08-03T05:52:00Z	87	140	717	1258
mas-bandwidth/nova-tools	1228	test (3/3)	2026-08-03T05:52:00Z	96	157	876	1258
mas-bandwidth/nova-tools	1229	test (1/3)	2026-08-03T07:29:00Z	89	132	611	1159
mas-bandwidth/nova-tools	1229	test (2/3)	2026-08-03T07:29:00Z	98	149	770	1159
mas-bandwidth/nova-tools	1229	test (3/3)	2026-08-03T07:29:00Z	107	166	240	1159
mas-bandwidth/nova-tools	1230	test (1/3)	2026-08-03T09:06:00Z	100	141	664	1180
mas-bandwidth/nova-tools	1230	test (2/3)	2026-08-03T09:06:00Z	109	158	823	1180
mas-bandwidth/nova-tools	1230	test (3/3)	2026-08-03T09:06:00Z	118	175	293	1180
mas-bandwidth/nova-tools	1231	test (1/3)	2026-08-03T10:43:00Z	111	150	717	1266
mas-bandwidth/nova-tools	1231	test (2/3)	2026-08-03T10:43:00Z	120	167	876	1266
mas-bandwidth/nova-tools	1231	test (3/3)	2026-08-03T10:43:00Z	129	184	346	1266
mas-bandwidth/nova-tools	1232	test (1/3)	2026-08-03T12:20:00Z	45	60	770	991
mas-bandwidth/nova-tools	1232	test (2/3)	2026-08-03T12:20:00Z	54	77	240	991
