repo	pr	head	prompt8	jev_score	friend	verdict	friend_score	author
nova-tools	2448	3247a21b	cold0921	9	friend	APPROVE	9	-
nova-tools	2445	d080cec1	cold0921	9	friend	HOLD	4	-
nova-tools	2444	0ccbbc47	cold0921	9	friend	HOLD	7	-
nova-tools	2443	6f8ae230	cold0921	8	friend	APPROVE	9	-
nova-tools	2442	5de61e35	cold0921	7	friend	HOLD	7	-
nova-tools	2439	1a6d8cce	cold0921	6	friend	HOLD	6	-
nova-tools	2438	63778846	cold0921	9	friend	APPROVE	8	-
nova-tools	2436	f0b033f2	cold0921	7	friend	HOLD	6	-
nova-tools	2435	7cb8518b	cold0921	8	friend	APPROVE	9	-
nova-tools	2433	f9426885	cold0921	7	friend	HOLD	7	-
nova-tools	2432	b055796e	cold0921	7	friend	HOLD	4	-
nova-tools	2431	e1869d3f	cold0921	8	friend	APPROVE	9	-
nova-tools	2429	9f06f237	cold0921	6	friend	HOLD	6	-
nova-tools	2427	e5e11fc0	cold0921	7	friend	HOLD	5	-
nova-tools	2422	2c7e6a7f	cold0921	7	friend	HOLD	7	-
nova-tools	2421	8df7472d	cold0921	9	friend	APPROVE	8	-
nova-tools	2420	1157c1a0	cold0921	4	friend	HOLD	4	-
nova-tools	2411	7bae5407	cold0921	7	friend	APPROVE	9	-
nova-tools	2408	cc175dc7	cold0921	6	friend	HOLD	6	-
nova-tools	2398	5a91e58f	cold0921	7	friend	HOLD	7	-
nova-tools	2396	7c713b3b	cold0921	4	friend	HOLD	4	-
nova-tools	2395	7bf87aa3	cold0921	7	friend	HOLD	7	-
nova-tools	2394	4b8c1a65	cold0921	6	friend	HOLD	6	-
nova-tools	2393	869de886	cold0921	8	friend	APPROVE	10	-
nova-tools	2392	7109378f	cold0921	8	friend	APPROVE	10	-
nova-tools	2391	01d633c4	cold0921	6	friend	APPROVE	8	-
nova-tools	2390	0640faf4	cold0921	6	friend	HOLD	6	-
nova-tools	2375	38a80b22	cold0921	7	friend	APPROVE	9	-
nova-tools	2327	42cb9a06	cold0921	6	friend	HOLD	6	-
nova-tools	2292	e964683b	cold0921	6	friend	APPROVE	10	-
nova-tools	2275	6ec743fa	cold0921	6	friend	APPROVE	9	-
nova-tools	2272	5f545edc	cold0921	9	friend	HOLD	7	-
nova-tools	2271	18af97de	cold0921	7	friend	HOLD	4	-
nova-tools	2270	bfd624dc	cold0921	6	friend	HOLD	6	-
nova-tools	2269	98a94c78	cold0921	6	friend	HOLD	6	-
nova-tools	2268	28fc1e45	cold0921	6	friend	HOLD	7	-
nova-tools	2267	feb338f4	cold0921	7	friend	HOLD	7	-
nova-tools	2266	d4986156	cold0921	7	friend	HOLD	7	-
nova-tools	2265	589988a6	cold0921	6	friend	HOLD	6	-
nova-tools	2264	1d1888e3	cold0921	6	friend	HOLD	6	-
nova-tools	2263	1e9585d2	cold0921	7	friend	APPROVE	10	-
nova-tools	2223	fdb7bdc9	cold0921	7	friend	HOLD	7	-
nova-tools	2213	6cdabe33	cold0921	7	friend	HOLD	7	-
nova-tools	2195	79b88503	cold0921	5	friend	HOLD	6	-
nova-tools	2176	05c16c59	cold0921	6	friend	HOLD	7	-
nova-tools	2170	27652845	cold0921	6	friend	APPROVE	9	-
nova-tools	2098	ad850b3e	cold0921	7	friend	HOLD	7	-
schema	1420	befeabb8	cold0921	9	friend	APPROVE	10	-
schema	1419	3d69cdad	cold0921	8	friend	APPROVE	8	-
schema	1418	5c530ebe	cold0921	9	friend	APPROVE	10	-
schema	1417	398ef8ec	cold0921	7	friend	HOLD	7	-
schema	1416	a6a6fbbb	cold0921	7	friend	HOLD	7	-
schema	1415	ed549ec8	cold0921	9	friend	HOLD	7	-
schema	1411	8d5b2776	cold0921	9	friend	APPROVE	10	-
schema	1409	2fd61ded	cold0921	8	friend	APPROVE	8	-
schema	1408	25c94863	cold0921	9	friend	HOLD	7	-
schema	1404	142b141f	cold0921	9	friend	APPROVE	9	-
schema	1400	a3d342c1	cold0921	5	friend	HOLD	6	-
schema	1394	7321c1ed	cold0921	9	friend	HOLD	5	-
schema	1393	0cf930c7	cold0921	9	friend	APPROVE	10	-
schema	1390	a179e32b	cold0921	9	friend	APPROVE	10	-
schema	1387	3be9299a	cold0921	7	friend	HOLD	7	-
schema	1375	e49dee1b	cold0921	3	friend	HOLD	3	-
schema	1374	fbc6bd93	cold0921	9	friend	APPROVE	10	-
schema	1369	309982c6	cold0921	8	friend	APPROVE	8	-
